epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1104.51,0.83592,0.52579,0.98723,1,0.99426,0.995,0.7582,0.91124,0.49167,1.12019,0.0003368,0.0003368,0.0003368
86,1116.97,0.82671,0.5184,0.98595,0.97281,1,0.99451,0.76444,0.9091,0.48543,1.1235,0.000317,0.000317,0.000317
87,1128.48,0.82923,0.51372,1.0004,0.97311,1,0.99451,0.75204,0.90683,0.48208,1.12815,0.0002972,0.0002972,0.0002972
88,1140,0.78252,0.50757,0.97182,1,0.98796,0.995,0.75929,0.90474,0.48371,1.13442,0.0002774,0.0002774,0.0002774
89,1151.51,0.78353,0.50072,0.97715,1,0.98988,0.995,0.75498,0.90407,0.47888,1.13364,0.0002576,0.0002576,0.0002576
90,1162.95,0.74667,0.48796,0.95849,0.97456,1,0.995,0.75748,0.90407,0.47447,1.13092,0.0002378,0.0002378,0.0002378
91,1174.52,0.8399,0.71272,0.93771,0.97357,1,0.99378,0.75189,0.90626,0.4762,1.12964,0.000218,0.000218,0.000218
92,1185.92,0.71711,0.51676,0.93117,0.97364,1,0.99451,0.75639,0.91218,0.48447,1.12871,0.0001982,0.0001982,0.0001982
93,1197.11,0.72397,0.49869,0.94109,0.97355,1,0.99378,0.75385,0.91437,0.48588,1.12402,0.0001784,0.0001784,0.0001784
94,1208.39,0.74451,0.51716,0.94992,0.97319,1,0.99378,0.75053,0.92229,0.48832,1.12694,0.0001586,0.0001586,0.0001586
95,1219.8,0.92275,0.53607,1.05879,0.97302,1,0.99451,0.75347,0.92194,0.48848,1.13077,0.0001388,0.0001388,0.0001388
96,1231.8,0.79149,0.52131,0.97105,0.97275,1,0.99451,0.75492,0.91942,0.48096,1.13342,0.000119,0.000119,0.000119
97,1244.15,0.8184,0.49924,0.92609,1,0.99174,0.995,0.76612,0.91779,0.47643,1.13397,9.92e-05,9.92e-05,9.92e-05
98,1257.27,0.75696,0.49808,0.94854,0.97541,1,0.995,0.76508,0.91809,0.47513,1.13514,7.94e-05,7.94e-05,7.94e-05
99,1271.12,0.74506,0.49858,0.94125,0.97314,1,0.99451,0.76508,0.91825,0.47513,1.134,5.96e-05,5.96e-05,5.96e-05
100,1283.9,0.7358,0.47368,0.93444,0.97331,1,0.99378,0.7656,0.91716,0.47746,1.13386,3.98e-05,3.98e-05,3.98e-05
